"price","lotSize","age","bedrooms","fireplaces","rooms"
132500,0.09,42,2,1,5
181115,0.92,0,3,0,6
109000,0.19,133,4,1,8
155000,0.41,13,3,1,5
86060,0.11,0,2,0,3
120000,0.68,31,4,1,8
153000,0.4,33,4,1,8
170000,1.21,23,4,1,9
90000,0.83,36,3,0,8
122900,1.94,4,3,0,6
325000,2.29,123,7,0,12
120000,0.92,1,3,0,6
85860,8.97,13,2,0,4
97000,0.11,153,3,0,5
127000,0.14,9,3,0,8
89900,0,88,3,0,4
155000,0.13,9,3,0,7
253750,2,0,4,1,12
60000,0.21,82,2,0,6
87500,0.88,17,3,0,6
112000,1,12,3,0,7
104900,0.43,21,3,0,4
148635,0.32,1,3,0,7
150000,0.03,24,3,0,6
90400,0.36,16,3,0,4
248800,4,28,4,0,10
135000,1.83,126,3,0,6
145000,3,26,4,0,5
457000,0.43,53,4,1,10
140000,0.44,56,3,1,7
130000,1.24,51,2,2,4
187000,0.46,3,3,1,7
229000,0.87,9,3,1,8
227000,1.8,201,3,0,5
179900,0.46,1,4,1,6
169900,0.91,19,4,1,8
209900,0.46,1,4,1,7
169900,0.59,0,4,1,9
293000,7.24,43,4,2,6
245900,0.19,0,4,1,7
157000,0.46,45,3,1,6
195000,0.41,32,4,0,8
150000,0.78,54,3,1,5
234900,0.89,9,3,0,6
279550,1.34,0,4,1,10
246500,1,0,4,1,9
124000,1,98,2,0,3
138000,0.27,54,3,0,7
290000,0.71,73,4,0,8
108000,0.9,48,2,1,3
134900,0.24,10,3,0,6
64500,0.06,16,2,1,5
142000,0.55,20,3,1,6
125000,0.34,32,3,0,5
88000,0.19,15,3,1,5
135000,0.23,135,3,0,5
90000,0.07,14,2,1,5
90100,0.09,15,3,1,7
126900,0.25,10,3,0,6
175000,0.47,15,3,1,5
158000,0.36,10,2,1,3
92000,0.07,14,3,1,8
82800,0.11,225,3,0,7
140000,0.23,25,4,1,5
171000,3.16,15,2,0,7
200640,0.08,0,4,0,9
139000,0.57,30,3,1,5
225000,0.5,12,4,1,11
182000,1,16,3,1,7
208767,0.5,0,3,0,7
186000,0.55,0,4,0,7
93000,0.1,14,3,1,6
257386,0.5,0,4,1,10
161000,0.31,10,3,0,5
92000,0.28,18,4,0,7
211002,0.06,0,4,0,8
115000,0.06,14,3,1,6
113000,0.46,53,3,0,7
216300,0.1,0,4,0,10
145000,2.12,32,3,1,8
114000,0.06,14,2,1,5
139050,0.21,125,3,0,6
104000,0.06,14,3,0,6
169900,0.26,11,3,0,8
177900,0.29,2,3,0,5
133000,1.29,14,2,1,3
185000,1,0,4,0,9
115000,0.88,16,3,1,8
100000,0.52,91,3,0,6
117000,0.07,15,4,1,9
150000,0.32,11,3,0,6
187500,0.92,11,3,1,7
107000,0.46,25,3,1,6
126900,0.46,26,3,0,5
147000,0.11,15,3,1,6
62000,0.4,103,3,0,7
101000,0.87,30,3,1,8
143500,0.59,13,3,0,7
113400,0.93,18,2,0,3
76320,0.15,68,3,1,5
110000,0.59,10,3,0,6
88000,0.33,49,3,0,4
108000,0.32,30,2,1,4
114900,0.46,41,3,0,6
146000,0.48,2,3,0,9
225000,2.37,8,3,1,6
138000,0.83,16,3,1,8
218070,1,0,4,0,8
25000,0.21,75,2,0,6
112000,0.27,36,3,0,5
112500,0.72,43,3,1,5
97000,0.36,45,3,0,6
121000,0.52,6,3,0,5
65720,0.19,123,3,0,5
225000,0.38,10,4,1,8
192000,0.82,0,3,1,9
158500,0.69,6,3,0,8
247000,0.51,16,3,1,5
193777,0.72,11,3,0,8
136500,0.62,12,3,0,5
75000,1,45,3,0,7
45000,0.52,75,2,0,4
243000,0.82,12,3,0,6
90000,0.29,83,4,0,7
158000,0.52,0,3,0,7
174000,0.64,9,4,1,7
150000,0.52,12,2,1,7
159650,1,3,3,0,8
139062,0.69,33,3,2,6
84950,0.13,0,2,0,3
102000,0.22,10,2,0,6
175000,0.46,15,4,0,5
78500,1,153,4,0,12
232478,1,0,4,1,9
93805,0.13,0,2,0,7
119900,1.03,63,5,0,10
146000,1.17,33,3,1,6
125000,0.34,44,3,0,4
135000,0.38,48,3,1,5
157500,1.96,29,3,1,5
135000,3,178,4,0,12
142900,0.33,32,3,1,7
259900,0.46,1,4,1,9
85000,0.29,16,2,0,7
180377,0.35,1,3,1,6
163500,0.28,21,3,1,10
106500,0.52,53,3,0,6
115000,0.11,16,2,1,3
115000,0.14,16,2,1,5
135000,0.14,15,2,1,5
198900,0.47,7,4,1,8
139000,0.14,16,2,1,6
206000,0.51,15,3,1,7
120000,0.21,15,2,1,3
205980,0.14,1,3,1,5
275000,0.55,14,3,1,7
139000,0.07,12,2,0,4
89900,0.49,83,3,0,6
139900,0.07,13,2,0,7
172750,0.36,1,3,0,5
136000,0.5,37,3,0,5
270000,0.48,10,4,1,11
174000,0.29,14,3,1,6
379000,0.68,9,4,1,12
382500,4.08,13,6,2,12
144900,0.1,14,3,1,5
349900,0.62,7,4,1,11
133000,0.07,16,2,1,5
115000,0.16,15,2,1,7
211950,0.36,1,4,1,8
227812,0.01,0,4,1,10
164400,0.34,1,3,1,5
340000,0.75,12,4,1,10
139900,0.29,15,2,0,7
279900,0.47,6,4,1,10
225000,0.32,0,4,1,9
144500,0.12,15,2,1,4
362710,1,0,4,1,10
247000,0.46,13,4,1,8
120000,0.18,16,2,1,7
136000,0.55,33,3,1,7
228500,0.46,9,3,0,4
162800,0.15,10,3,0,7
230000,0.93,48,5,1,10
115800,0.46,23,3,0,5
175000,0.26,16,3,1,6
263008,0.63,0,4,1,11
146000,0.5,35,3,0,8
204900,0.03,10,3,0,6
265000,0.17,9,3,1,5
167500,0.64,37,3,1,9
205000,0.47,6,3,1,9
170000,0.92,53,4,0,9
176000,0.41,35,3,1,6
132000,0.16,15,2,1,3
115500,0.01,17,2,0,4
150000,0.29,93,3,0,6
120000,0.36,103,3,0,8
125000,0.28,16,2,1,6
150000,0.15,14,2,1,5
362360,0.59,0,4,1,9
133500,0.36,19,3,1,6
91000,0.16,19,2,1,5
104000,0.34,18,3,0,4
148000,0.33,17,3,1,6
182000,0.56,30,4,1,8
152500,0.48,30,3,1,7
97000,0.16,19,2,0,3
113000,0.17,16,3,0,8
172000,0.46,30,4,1,5
179900,0.81,25,5,1,9
84000,0.15,19,2,0,7
117900,0.15,17,2,1,7
177000,0.32,17,4,0,8
107500,0.16,20,2,0,3
92500,0.15,18,2,0,4
102900,0.15,17,2,0,3
134800,0.48,73,3,0,5
150000,0.77,7,3,0,4
165000,0.42,10,3,1,5
120000,0.17,16,3,1,6
177500,0.32,16,4,1,9
300000,0.09,11,1,0,3
123500,0.16,16,3,1,8
141000,0.16,18,3,0,7
105400,0.15,15,2,0,7
100600,0.17,19,2,0,6
108900,0.17,19,2,0,3
105500,0.16,19,2,0,6
109900,0.16,19,3,0,8
172700,0.34,18,3,1,6
166500,0.31,16,3,1,6
105000,0.4,50,2,0,5
490000,0.34,18,3,1,6
120000,0.16,18,3,0,5
107500,0.15,16,2,0,4
116600,0.15,18,2,1,5
65000,0.16,19,2,0,4
118000,0.16,19,3,0,6
115900,0.15,16,2,0,4
100000,0.15,18,2,0,3
171000,0.37,18,3,1,5
188000,0.31,17,4,0,9
140000,1,24,2,0,3
124500,0.15,17,2,0,4
107200,0.16,19,2,0,6
107500,0.24,138,4,0,9
180000,2.06,16,3,1,5
214325,0.42,0,4,1,9
128850,0.92,16,3,0,5
208700,0.4,0,4,1,9
139900,0.36,22,3,0,4
350000,5.84,12,3,1,9
108000,0.16,19,2,0,4
115500,0.15,16,2,1,4
135000,0.98,35,2,0,3
135000,0.33,17,3,1,8
107400,0.16,16,2,1,7
233000,0.09,12,4,1,7
105000,0.16,17,2,1,5
335000,3,10,2,0,6
139000,0.58,25,3,0,8
209500,0.42,10,4,1,8
101000,0.17,18,2,0,3
77500,0.16,19,2,0,6
150500,0.31,16,2,1,7
167000,0.99,17,3,0,7
114000,0.26,26,3,1,4
160000,0.45,27,4,0,9
85000,0.49,0,4,1,10
143000,0.35,21,3,0,7
126000,0.4,24,3,1,7
140000,0.48,23,3,0,8
140000,0.35,9,3,0,8
205000,0.25,20,4,1,9
79900,0.12,19,2,0,7
139000,0.09,24,2,1,3
190000,0.46,36,4,1,10
151500,0.71,58,3,1,7
97500,0.06,19,2,1,6
194500,0.61,41,4,1,7
195160,0.32,0,3,1,9
152500,0.37,26,3,1,8
159500,0.29,26,3,1,4
185000,0.95,16,3,1,4
240000,0.67,8,4,1,9
187900,0.4,32,5,1,9
262000,0.29,5,4,1,12
212500,0.35,6,4,1,7
220000,0.37,18,4,1,8
245000,0.53,15,4,1,10
120000,0.06,19,3,0,4
102500,0.15,16,2,0,7
136000,0.27,24,3,0,4
212500,0.43,10,4,1,9
205900,0.06,26,3,1,8
259900,1,2,2,2,4
191500,0.46,30,5,1,12
272500,0.03,0,4,1,12
191500,0.88,33,4,1,10
158000,0.55,36,3,1,8
195000,1,24,2,0,3
187500,0.43,29,5,1,9
160000,0.45,35,3,1,7
137500,0.1,12,2,0,7
109900,0.09,16,2,1,4
85000,0.09,18,3,0,8
184350,0.59,0,4,1,11
134500,0.16,10,2,1,3
154900,0.51,33,3,0,8
255000,0.46,25,3,1,12
238600,0.46,1,4,1,10
106000,0.42,36,3,0,9
625000,0.45,14,4,4,12
195000,0.55,34,4,1,12
168500,0.44,34,3,1,7
87000,0.06,19,3,0,5
215000,0.5,15,4,1,7
197500,0.3,30,3,1,9
215000,0.33,3,4,1,8
118000,0.14,19,3,0,5
187900,0.69,34,5,1,9
275000,0.38,18,4,2,9
249900,0.74,14,3,1,7
270000,0.38,18,4,1,8
157900,0.38,37,3,1,5
120000,0.29,19,4,0,9
126400,0.28,22,2,1,7
220000,0.54,16,3,1,5
180000,0.26,31,3,1,9
203600,0.59,33,4,1,9
249900,0.37,4,4,1,7
193000,0.4,18,4,1,10
215000,0.5,15,4,1,9
201000,0.54,29,5,1,10
65000,0.22,73,3,0,4
195000,0.35,36,4,1,7
215900,0.52,38,5,1,9
92000,0.31,17,2,1,6
155000,0.38,25,3,1,9
123500,0.08,22,3,1,4
110400,0.1,29,3,0,5
198900,0.44,18,3,1,7
150000,0.26,49,3,0,8
104000,0.07,18,3,1,4
245000,0.48,23,5,2,8
180000,0.41,17,3,1,7
154300,0.42,61,3,0,8
170000,0.45,30,4,1,5
219000,0.6,25,4,1,10
295000,0.95,9,3,1,6
181500,0.56,27,4,1,8
260000,1.25,133,4,1,11
239900,0.7,15,4,1,7
135500,0.67,56,1,0,3
191500,0.66,15,4,1,9
225000,0.62,37,5,1,12
98500,0.08,18,3,0,4
110500,0.08,17,3,1,5
290000,0.51,7,4,1,8
184400,0.28,31,3,1,7
178500,1,12,3,2,9
415000,0.58,9,4,1,12
244900,0.43,26,4,1,7
150000,0.55,35,5,1,11
168000,0.49,33,4,1,9
159000,0.39,43,4,0,9
127000,0.06,18,3,0,7
175000,0.46,29,4,1,7
255250,0.5,0,4,1,8
175000,0.6,33,3,1,8
235000,0.41,17,4,1,11
324000,0.53,18,4,1,12
173000,0.21,11,2,1,4
116900,0.06,20,2,0,7
105900,0.09,19,3,0,5
112000,0.13,25,2,1,5
235000,0.72,15,3,1,5
235000,1,9,4,1,12
130000,0.18,18,3,0,4
235000,0.74,10,3,1,7
191900,0.48,32,4,1,11
284900,0.58,20,3,1,9
335000,0.01,21,3,1,7
140000,1,78,2,0,6
191000,0.41,29,4,1,9
153000,0.51,33,4,1,6
196000,0.55,35,4,1,9
248000,0.46,16,3,1,7
240000,0.6,35,5,2,12
132000,0.19,18,3,0,6
199000,1.42,32,3,1,7
217000,0.69,20,4,0,9
167000,0.51,31,3,1,4
245000,0.29,13,4,1,10
358000,0.06,10,4,0,10
412500,0.6,13,5,2,12
208000,0.53,16,3,1,6
270000,0.38,10,4,1,8
100000,0.74,54,2,1,3
130000,0.56,29,3,0,6
182500,0.71,32,4,1,6
139000,2.84,55,2,1,7
104000,0.09,19,3,1,5
221000,0.52,14,4,1,8
260000,1,8,4,0,7
182500,0.5,29,4,1,7
196000,0.43,33,4,1,10
132000,0.09,18,3,1,7
224900,0.11,25,4,1,10
199900,0.24,9,3,0,7
165835,0.39,38,4,1,10
189000,0.8,38,4,1,9
89900,0.19,19,3,0,7
235000,0.59,34,5,1,11
166000,0.48,26,4,1,5
153100,0.46,35,4,1,5
162000,0.4,35,4,1,9
224000,0.52,40,7,1,12
222400,0.86,3,3,1,8
199000,0.46,37,4,1,8
166000,0.95,13,3,1,4
149900,0.63,11,2,0,5
152000,0.42,16,3,0,8
162500,0.34,154,4,0,7
274900,0.5,5,4,0,9
100000,0.2,14,2,0,5
215000,2.96,19,3,0,8
124000,1,17,3,0,8
125000,1,128,3,0,6
138000,1,19,3,1,4
225000,0.52,11,3,1,6
180000,0.48,20,3,1,6
189900,0.33,14,4,0,8
435000,1,25,5,2,12
120000,2.6,10,3,1,7
163000,0.15,64,2,0,6
131000,2.8,114,7,0,10
126500,0.08,15,3,1,8
122500,0.14,15,3,1,4
425000,0.46,88,4,1,12
225000,0.63,54,2,0,7
209000,3.8,19,2,0,3
189100,0.46,15,3,1,4
285000,0.98,25,3,1,5
266600,1,12,4,0,7
80000,1,32,2,0,6
225000,6.07,14,3,0,5
159000,0.03,17,3,1,8
119900,0.18,2,1,0,6
130900,0.11,1,2,0,3
194670,0.28,124,4,0,12
72000,0.18,121,3,0,7
144700,0.16,2,3,0,6
139500,0.15,3,3,0,8
319000,0.5,5,3,1,4
348000,3.68,14,3,1,9
189900,0.98,16,3,0,10
20000,0.52,59,2,0,4
60000,0.01,13,2,0,7
179500,0.91,11,3,1,5
133300,0.34,118,4,0,8
153000,2.06,6,3,0,5
111900,0.35,54,4,1,9
187000,0.47,18,6,0,11
158500,0.7,17,2,1,4
153000,0.39,52,3,1,6
190000,0.52,47,4,1,8
242000,1.27,27,3,1,8
234500,2,164,3,0,10
225000,0.68,29,3,1,8
165000,0.38,48,4,1,5
129900,0.28,12,3,1,8
315000,0.07,15,3,1,7
129900,0.24,64,2,0,3
257000,0.26,15,2,1,8
324000,3.64,0,4,1,8
520000,0.41,13,3,1,11
150414,0.46,32,3,1,5
290000,0.15,13,2,1,6
112000,0.16,116,3,0,7
185000,1,13,3,0,8
295000,2.61,1,3,1,9
290000,1,33,1,1,4
79900,0.19,44,2,0,6
256000,0.83,6,4,1,8
245000,1,7,4,1,7
140000,0.42,32,4,0,9
272000,0.87,10,3,1,10
164000,0.68,16,4,0,7
182500,0.38,51,4,1,9
219900,1.1,124,4,1,9
325000,0.8,134,5,2,12
352000,0.95,2,4,0,12
315000,4.1,15,3,0,7
154000,0.34,49,2,0,6
199000,0.09,48,4,1,7
202000,1,12,3,1,7
292000,0.57,6,4,1,10
116600,1,11,3,1,7
155000,0.48,25,4,0,5
215000,0.14,13,4,1,9
373490,0.19,0,4,1,12
259142,0.5,0,4,1,10
293565,0.35,0,4,1,8
285558,0.21,0,4,0,8
273960,3.47,1,3,1,10
185000,0.55,11,3,1,7
190000,0.53,4,3,0,6
171000,0.54,11,3,0,4
208000,0.54,11,4,0,11
168000,0.32,10,3,1,5
165000,0.25,10,2,0,7
138500,0.32,36,3,1,6
179900,0.5,13,3,1,7
180000,0.04,13,4,0,7
112000,0.21,129,3,0,7
152000,0.17,124,4,0,8
100000,0.51,28,3,1,4
154000,0.17,29,3,0,6
133000,0.11,29,3,0,5
285000,0.14,14,4,1,10
138000,1,22,3,0,5
303000,0.18,20,4,1,10
250000,1.29,19,4,1,7
167500,1,27,2,0,7
190000,0.6,19,4,1,7
182500,0.46,20,3,1,8
107000,1.03,20,3,1,6
195000,0.47,15,3,1,7
169000,0.5,30,4,1,8
156000,0.26,11,2,0,5
120000,0.49,30,3,0,4
170000,0.28,29,4,0,6
249835,0.52,0,4,1,11
188095,0.15,0,3,1,9
176450,0.05,6,3,0,8
322277,0.09,1,3,0,8
149000,0.49,32,4,1,9
95000,0.19,24,3,0,6
198500,0.1,63,2,0,7
185000,0.03,3,2,1,6
168900,0.16,0,3,0,7
220000,0.28,29,3,1,6
129900,0.32,31,3,1,4
167000,0.23,53,3,0,4
330000,0.12,113,4,0,8
336000,0.15,1,3,0,10
512971,0.01,0,2,1,8
229000,0.29,3,3,0,6
145000,0.16,38,2,1,7
103000,0.07,16,3,1,5
210000,0.17,93,4,1,11
559000,0.24,55,4,2,12
218000,0.21,142,3,0,8
262138,0.15,0,3,1,4
125000,0.24,33,3,0,7
130000,0.16,36,3,0,4
157500,0.3,27,3,1,6
193000,0.3,6,3,1,4
275000,0.12,78,4,1,6
240000,0.15,103,2,0,7
200136,0.15,0,3,1,7
395000,1.4,12,3,0,6
366703,0.15,0,3,1,6
103150,0.25,32,3,1,8
310000,0.17,169,6,2,12
142900,0.36,32,4,1,10
359770,0.16,1,3,0,8
126000,0.68,64,2,0,7
760000,1.22,2,5,0,12
282500,0.25,150,3,1,8
132000,0.06,18,3,0,8
325000,0.23,5,4,1,12
207000,0.48,25,3,1,10
155000,0.24,32,4,1,7
330000,0.12,73,3,0,5
101760,0.15,103,2,1,3
496000,0.34,3,4,1,11
185000,0.11,83,3,0,5
125000,0.25,33,3,0,5
286000,0.13,1,3,0,8
269000,0.04,15,3,1,8
303374,0.12,1,3,0,6
371165,0.39,0,4,1,8
287600,0.07,0,3,0,6
131000,0.34,33,3,0,6
187000,1,25,3,1,7
169000,0.04,103,2,0,3
133500,0.21,37,3,0,8
620000,1.06,14,5,2,12
549254,0.25,0,3,1,11
280000,0.09,82,2,0,6
135000,0.26,33,3,0,8
195388,0.14,0,3,1,10
337020,0.15,1,3,1,7
330850,0.46,0,4,1,8
248495,0.63,0,4,1,11
120000,0.26,123,4,0,6
240000,0.48,0,3,1,8
235000,0.22,34,3,0,8
500075,0.91,0,3,0,12
240000,0.07,13,3,1,6
270000,0.46,0,3,1,9
225000,0.12,51,3,0,4
280000,0.16,0,3,0,8
225000,0.48,27,4,2,11
248220,0.46,0,3,1,7
275000,0.03,16,2,1,7
137000,0.12,50,2,0,3
150000,0.14,16,2,0,3
649000,1.04,10,3,2,12
195000,0.49,17,3,1,5
373200,0.65,4,4,1,8
169450,0.15,0,3,1,4
144200,0.15,113,4,1,9
189900,0.5,43,3,1,7
166000,0.14,0,3,0,8
160000,0.23,0,3,0,5
327355,0.14,14,3,1,6
247000,0.29,9,3,0,7
318000,0.23,3,3,1,8
341000,0.23,52,2,1,4
288650,0.08,0,3,0,10
157000,0.03,103,3,0,4
449000,1,20,3,2,12
142000,0.16,28,3,0,6
389000,1,16,3,2,6
476000,0.42,4,3,1,9
249230,0.18,0,2,1,4
139900,0.3,30,3,0,7
301900,0.73,0,4,1,11
425000,1.03,24,3,1,9
121000,0.25,32,3,0,8
150000,0.19,123,2,0,7
138000,0.29,30,3,1,6
199900,0.39,6,3,0,5
145000,0.27,33,4,1,7
465000,0.25,22,2,1,7
158000,0.32,1,3,0,4
375000,0.27,50,3,1,7
147783,0.36,51,3,0,5
339000,0.36,3,3,1,5
267000,0.07,14,3,1,9
290000,0.12,3,3,1,7
271295,0.35,1,4,0,11
278140,0.62,1,3,0,10
138000,0.07,94,2,0,3
367500,0.27,2,3,1,10
428500,0.42,4,4,0,11
140000,0.48,34,3,0,5
140000,0.36,35,3,0,7
145000,0.3,33,3,0,7
280000,0.07,16,3,1,8
190400,0.17,16,3,1,9
267000,0.11,83,3,0,7
164900,0.14,77,2,0,5
280000,0.1,79,4,0,5
225000,0.11,84,3,1,6
148000,0.06,18,2,0,5
165000,0.32,32,3,1,6
340455,0.38,0,4,1,10
133000,0.42,36,3,1,4
115540,0.2,104,3,0,7
240000,0.58,52,3,1,4
600000,0.04,17,3,2,12
71500,0.3,44,3,0,5
189900,0.03,18,3,1,4
325000,0.08,115,3,0,6
280000,0.14,84,3,0,4
255000,0.12,104,2,0,5
300000,0.2,104,6,0,11
106000,0.48,34,3,0,7
139000,0.27,56,2,0,3
165000,0.06,15,3,1,5
169000,0.17,19,2,0,5
159400,0.24,29,3,0,5
300000,0.87,25,4,1,11
161000,0.23,32,3,0,8
230500,0.59,18,4,0,6
220000,0.41,31,4,0,6
177900,0.29,32,4,1,7
350000,0.32,36,3,1,10
335000,0.14,94,3,0,9
597185,1.07,0,4,1,12
173000,0.33,32,4,0,9
518000,0.17,144,3,1,7
212000,0.5,18,3,1,7
149900,0.87,19,4,0,10
140958,0.22,40,2,0,7
95000,0.33,34,2,0,6
161600,0.24,34,3,0,8
351400,0.15,1,2,1,4
155000,0.3,33,3,0,6
198500,0.4,34,3,1,7
276000,0.21,62,3,1,4
167000,0.25,32,3,0,8
227000,0.84,25,3,2,7
405100,0.39,3,3,1,6
395000,0.14,3,3,0,6
360000,0.41,99,4,0,9
775000,0,5,3,1,9
285000,0.07,16,2,2,6
300000,0.12,4,3,0,8
214000,0.25,39,3,0,4
229000,0.22,46,3,1,8
330000,0.23,33,3,0,8
146000,0.42,44,3,0,8
381500,0.15,2,3,1,9
430000,0.34,5,3,1,7
650000,0.43,2,3,1,10
194500,0.17,40,4,0,6
279000,0.39,14,4,1,7
183000,0.31,35,4,1,8
195000,0.03,18,3,1,7
470000,0.17,135,3,2,8
167000,0.11,80,2,0,6
309278,0.02,17,2,1,5
217500,0.34,26,3,0,6
200000,0.17,44,3,0,8
199995,0.16,18,2,0,6
179000,0.46,44,2,0,7
329000,1,1,4,0,10
374900,0.06,15,3,1,10
165000,0.29,34,3,1,5
647000,1.08,14,4,1,12
315000,0.63,19,1,0,6
208000,0.34,26,4,1,10
405000,0.58,6,4,1,9
535000,1,14,4,1,12
184020,0.4,34,3,0,7
95000,0.17,139,6,0,9
87550,0.46,44,2,0,3
131000,0.23,66,3,1,8
127000,0.2,77,3,1,8
104695,0.21,54,2,0,7
120000,0.18,70,3,0,4
278500,0.16,17,4,0,12
75500,0.13,124,3,0,8
121900,0.47,20,3,0,6
208000,0.45,39,3,0,6
151000,0.59,15,3,1,4
138000,0.38,15,2,0,3
229000,0.55,11,4,0,10
130000,0.52,13,3,0,5
89900,0.46,66,2,0,3
145000,0.76,11,3,0,7
86000,0.46,43,3,0,4
95000,0.17,134,3,0,5
195000,0.34,15,3,1,6
107325,0.1,126,3,0,7
131000,0.54,41,4,1,8
166900,0.75,3,3,0,7
127000,0.43,39,3,0,6
119000,0.15,65,2,0,4
92509,0.52,13,2,0,4
174000,0.46,34,5,0,11
180000,0.52,10,3,0,8
155000,0.41,9,3,0,8
146500,0.44,25,3,1,8
162500,0.46,26,3,1,7
210000,0.48,32,5,2,11
165000,0.65,22,3,1,6
123000,0.08,16,3,1,5
150000,0.58,36,3,1,4
128900,0.14,7,3,0,8
88100,0.14,0,2,0,7
175000,0.68,54,3,0,8
120975,0.13,0,3,0,4
147543,0.29,0,3,0,7
118000,0.22,17,3,0,4
199000,0.5,13,3,1,7
79900,0.18,154,2,0,5
279000,0.55,14,4,1,12
90000,0.28,16,3,0,7
91900,0.35,20,2,1,5
153000,0.25,10,3,0,6
170000,2.68,11,4,1,8
145200,0.2,15,2,1,4
296000,0.02,8,4,2,10
150000,0.37,1,4,0,6
86000,0.45,19,2,1,7
118000,0.36,21,3,0,7
155000,0.75,53,3,1,5
222500,0.69,15,3,1,6
250000,0.46,17,4,1,10
365000,0.69,13,4,0,11
120000,0.89,14,4,0,5
193000,0.47,18,3,0,5
85568,0.15,67,3,0,6
82000,0.46,17,2,0,3
225000,0.77,50,2,1,7
240000,0.85,34,4,2,12
234900,0.01,1,4,0,8
112000,0.02,19,2,1,6
261000,0.57,14,4,1,10
400000,0.6,9,4,2,12
310000,0.41,4,4,1,8
182000,0.29,21,3,0,8
187500,0.47,11,3,0,7
405000,0.61,6,4,1,12
420000,1.14,6,4,1,11
359000,0.48,4,4,1,9
120000,0.01,16,2,0,6
171500,0.31,37,3,1,6
159900,0.21,16,2,1,6
186500,0.21,16,3,1,8
260000,0.46,13,4,1,8
115000,0.01,16,2,0,6
191000,0.44,39,4,1,5
355465,0.35,0,4,1,12
339900,0.57,10,3,0,10
90000,0.49,74,2,0,7
245000,0.04,6,3,0,8
320900,0.46,7,4,1,8
159000,0.22,18,2,1,6
174900,0.62,38,3,0,6
293500,0.49,10,4,1,8
210000,0.51,11,3,0,8
182500,1,34,3,1,5
219900,0.46,8,3,1,7
370000,0.46,1,4,1,12
286000,0.47,7,4,1,10
169900,0.49,36,3,1,8
161000,0.23,40,3,0,7
287000,0.36,2,5,1,11
315000,0.94,9,4,1,11
177000,0.34,25,3,0,5
332000,1,11,3,0,11
249000,0.53,8,3,1,5
179000,0.09,15,2,0,7
150000,0.52,34,3,0,8
225000,0.37,16,4,1,10
182000,0.33,37,3,1,7
329900,0.5,9,4,1,11
165000,0.33,32,5,1,11
180000,0.31,16,2,0,7
321000,0.53,11,4,1,11
180000,0.11,15,2,1,4
178000,0.14,17,2,0,6
279900,0.55,2,4,1,9
179000,0.14,19,2,1,5
183000,0.15,17,2,1,6
500000,1,70,3,0,7
170000,0.37,37,3,1,6
179000,0.34,24,3,1,9
184900,0.32,18,3,1,4
177500,0.33,18,3,0,7
112500,0.15,19,2,0,7
180000,0.32,17,5,1,9
10300,0.16,20,2,1,4
137900,0.16,17,3,0,7
144000,0.06,54,5,0,8
131600,0.16,17,2,1,7
123500,0.15,17,2,0,5
123000,0.15,17,2,0,7
109000,0.15,20,2,0,7
173000,0.31,16,2,1,5
105000,0.16,20,2,0,3
122500,0.15,18,2,0,3
191000,0.46,26,3,1,7
149000,0.16,19,2,1,6
205000,0.33,16,4,1,9
225000,0.33,16,3,0,10
210000,0.49,15,3,1,8
