BCKGI1;BCKGI1[other];BCKGI3;BCKGI2;BCKGI2[other];BCKGI5;FCsthree0;FCthree01;FCthree1;FCsix0;FCsix01;FCsix1;FCtwelve;FCtwelve01;FCtwelve1;AQ1;AQ2;AQ3;AQ4[SQ001];AQ4[SQ002];AQ4[SQ003];AQ5
Bachelor;;22;Female;;Austria;The EUR will appreciate.;1,25;70;The EUR will depreciate.;1,1;40;The EUR will depreciate.;1,12;70;40;40;2;No;No;Yes;Optimist
Bachelor;;22;Female;;Austria;The EUR will appreciate.;1,24;61;The EUR will depreciate.;1,2;57;The EUR will depreciate.;1,2;67;66;80;0;No;No;Yes;Optimist
Bachelor;;20;Female;;Austria;The EUR will depreciate.;1,09;3;The EUR will depreciate.;1,04;4;The EUR will depreciate.;1,01;5;0;0;0;No;No;Yes;Optimist
Bachelor;;22;Male;;Austria;The EUR will appreciate.;1,26;60;The EUR will depreciate.;120;70;The EUR will depreciate.;1,15;70;70;65;2;No;Yes;No;Realist
Bachelor;;23;Female;;Austria;The EUR will depreciate.;1,19;20;The EUR will appreciate.;1,25;0;The EUR will appreciate.;1,26;10;20;40;0;No;No;Yes;Optimist
Bachelor;;24;Male;;Austria;The EUR will appreciate.;1,23;20;The EUR will appreciate.;1,24;10;The EUR will appreciate.;1,25;0;75;90;0;No;No;Yes;Realist
Other;none yet;21;Female;;Austria;The EUR will depreciate.;1,34;57;The EUR will appreciate.;1,19;34;The EUR will depreciate.;1,25;50;90;90;0;Yes;No;Yes;Optimist
Bachelor;;26;Female;;Austria;The EUR will appreciate.;1,25;65;The EUR will depreciate.;1,18;65;The EUR will depreciate.;1,2;65;50;50;0;No;No;Yes;Realist
Bachelor;;22;Male;;Austria;The EUR will depreciate.;1,11;35;The EUR will depreciate.;1,1;30;The EUR will appreciate.;1,25;30;70;90;1;No;Yes;No;Optimist
Bachelor;;21;Male;;Austria;The EUR will depreciate.;1,15;55;The EUR will depreciate.;1,19;45;The EUR will appreciate.;1,24;35;75;60;0;No;Yes;No;Pessimist
Bachelor;;28;Male;;Austria;The EUR will appreciate.;1,25;60;The EUR will depreciate.;1,21;80;The EUR will depreciate.;1,18;10;50;50;0;No;Yes;No;Realist
Bachelor;;23;Male;;Austria;The EUR will appreciate.;1,23;40;The EUR will depreciate.;1,19;40;The EUR will appreciate.;1,25;50;40;35;1;No;Yes;No;Realist
Master;;26;Male;;Austria;The EUR will appreciate.;1,2367;66;The EUR will appreciate.;1,2194;33;The EUR will appreciate.;1,2152;0;51;51;more than 2;Yes;No;No;Realist
Bachelor;;22;Female;;Austria;;;;;;;;;;;;;N/A;N/A;N/A;
Master;;26;Male;;Bulgaria;;;;;;;;;;;;;N/A;N/A;N/A;
Master;;26;Male;;Bulgaria;The EUR will appreciate.;1,23;77;The EUR will appreciate.;1,25;60;The EUR will depreciate.;1,19;70;65;80;0;No;No;Yes;Optimist
Bachelor;;42;Male;;Bulgaria;The EUR will appreciate.;1,24;50;The EUR will appreciate.;1,26;50;The EUR will appreciate.;1,28;50;50;50;0;No;No;Yes;Optimist
Bachelor;;21;Male;;Bulgaria;The EUR will appreciate.;1,25;10;The EUR will appreciate.;1,27;9;The EUR will depreciate.;1,2;8;5;20;0;No;No;Yes;Realist
Bachelor;;21;Female;;Bulgaria;;;;;;;;;;;;;N/A;N/A;N/A;
Bachelor;;22;Female;;Austria;;;;;;;;;;;;;N/A;N/A;N/A;
Master;;23;Female;;Denmark;The EUR will appreciate.;1,4;50;The EUR will appreciate.;1,3;50;The EUR will appreciate.;1,33;50;30;30;0;No;No;Yes;Optimist
Master;;25;Male;;Denmark;The EUR will depreciate.;1,22;50;The EUR will depreciate.;1,23;40;The EUR will depreciate.;1,24;30;50;40;0;No;No;Yes;Realist
Bachelor;;24;Female;;Denmark;The EUR will depreciate.;1,19;100;The EUR will appreciate.;1,23;70;The EUR will appreciate.;1,25;90;0;0;0;Yes;Yes;Yes;Realist
Master;;25;Male;;Denmark;;;;;;;;;;;;;N/A;N/A;N/A;
Master;;23;Male;;Denmark;The EUR will depreciate.;1,15;30;The EUR will appreciate.;1,26;25;The EUR will depreciate.;1,18;60;75;80;2;Yes;No;No;Realist
Master;;23;Male;;Denmark;The EUR will depreciate.;1,18;40;The EUR will appreciate.;1,25;40;The EUR will appreciate.;1,25;40;50;60;2;No;Yes;No;Optimist
Master;;23;Male;;Denmark;The EUR will depreciate.;1,18;70;The EUR will depreciate.;1,15;85;The EUR will depreciate.;1,1;90;70;70;2;No;Yes;No;Realist
Bachelor;;24;Male;;Denmark;The EUR will depreciate.;1,15;50;The EUR will appreciate.;1,25;50;The EUR will appreciate.;1,25;50;50;50;1;No;No;Yes;Realist
Bachelor;;21;Male;;Denmark;The EUR will depreciate.;1,1;20;The EUR will depreciate.;1,09;10;The EUR will depreciate.;1,085;5;10;10;0;No;No;Yes;Realist
Bachelor;;22;Female;;Denmark;The EUR will depreciate.;1,1;70;The EUR will appreciate.;1,1;70;The EUR will appreciate.;1,25;70;30;50;0;No;Yes;No;Realist
Bachelor;;21;Female;;Denmark;The EUR will appreciate.;1,2;25;The EUR will appreciate.;1,2;15;The EUR will depreciate.;1,22;25;50;70;0;No;No;Yes;Optimist
Bachelor;;22;Male;;Denmark;The EUR will depreciate.;1,32;68;The EUR will depreciate.;1,45;54;The EUR will depreciate.;1,57;24;68;75;0;No;Yes;No;Realist
Bachelor;;21;Male;;Denmark;The EUR will appreciate.;1,23;70;The EUR will appreciate.;1,24;65;The EUR will depreciate.;1,24;65;75;85;1;No;Yes;No;Realist
Bachelor;;23;Male;;Denmark;The EUR will appreciate.;1,35;50;The EUR will appreciate.;1,5;50;The EUR will appreciate.;1,8;50;75;80;1;No;Yes;No;Pessimist
Bachelor;;20;Male;;Denmark;The EUR will depreciate.;1,15;60;The EUR will depreciate.;1,14;50;The EUR will depreciate.;1,13;40;75;65;1;No;Yes;No;Realist
Bachelor;;19;Female;;United Kingdom;;;;;;;;;;;;;N/A;N/A;N/A;
Bachelor;;21;Male;;Denmark;The EUR will appreciate.;1,25;70;The EUR will depreciate.;1,15;60;The EUR will depreciate.;1,12;40;40;40;2;No;Yes;No;Realist
Bachelor;;22;Female;;Denmark;The EUR will depreciate.;1,22;67;The EUR will depreciate.;1,22;70;The EUR will appreciate.;1,2;55;40;60;0;Yes;No;No;Pessimist
Bachelor;;22;Female;;Denmark;The EUR will depreciate.;2;0;The EUR will appreciate.;2;0;The EUR will appreciate.;2;0;;;;N/A;N/A;N/A;
Bachelor;;22;Male;;Denmark;The EUR will appreciate.;1,23;70;The EUR will depreciate.;1,19;65;The EUR will depreciate.;1,18;50;80;80;1;No;Yes;No;Realist
Bachelor;;24;Male;;Germany;The EUR will appreciate.;1,31;1;The EUR will depreciate.;1,15;1;The EUR will depreciate.;1,1;1;50;60;0;No;No;Yes;Realist
Bachelor;;20;Male;;Denmark;The EUR will appreciate.;1,22;22;The EUR will depreciate.;1,19;22;The EUR will appreciate.;1,22;22;15;15;0;Yes;No;Yes;Realist
Bachelor;;22;Male;;Austria;The EUR will depreciate.;1,15;80;The EUR will appreciate.;1,2;30;The EUR will appreciate.;1,25;30;40;70;1;No;No;Yes;Realist
Bachelor;;21;Male;;Denmark;;;;;;;;;;;;;N/A;N/A;N/A;
Master;;24;Male;;Denmark;The EUR will appreciate.;1,4;50;The EUR will depreciate.;1,35;50;The EUR will appreciate.;1,25;5;50;50;0;No;No;Yes;Realist
;;;;;Denmark;;;;;;;;;;;;;N/A;N/A;N/A;
Bachelor;;26;Male;;Denmark;The EUR will depreciate.;1,1;20;The EUR will depreciate.;1,1;30;The EUR will depreciate.;1;30;50;75;1;No;Yes;No;Optimist
Bachelor;;24;Female;;Denmark;;;;;;;;;;;;;N/A;N/A;N/A;
Bachelor;;22;Male;;Denmark;The EUR will depreciate.;1,16;50;The EUR will depreciate.;1,15;5;The EUR will depreciate.;1,2;2;60;70;1;No;Yes;No;Realist
Bachelor;;23;Male;;Denmark;The EUR will appreciate.;1,23;50;The EUR will appreciate.;1,22;20;The EUR will depreciate.;1,2;5;30;50;2;Yes;No;No;Optimist
Bachelor;;21;Female;;Germany;The EUR will appreciate.;1,18;50;The EUR will depreciate.;1,25;50;The EUR will depreciate.;1,27;50;50;50;1;No;Yes;No;Optimist
Master;;26;Female;;Germany;The EUR will depreciate.;1,15;50;The EUR will depreciate.;1,15;50;The EUR will depreciate.;1,15;50;60;60;0;No;Yes;No;Realist
Bachelor;;21;Female;;Germany;The EUR will appreciate.;1,29;25;The EUR will appreciate.;1,32;20;The EUR will appreciate.;1,35;15;15;30;1;No;No;Yes;Realist
Bachelor;;21;Female;;Germany;The EUR will depreciate.;1,18;25;The EUR will appreciate.;1,24;25;The EUR will appreciate.;1,24;15;30;30;2;No;Yes;No;Realist
;;;;;Denmark;;;;;;;;;;;;;N/A;N/A;N/A;
Bachelor;;22;Female;;Austria;The EUR will appreciate.;1,21;20;The EUR will appreciate.;1,22;20;The EUR will depreciate.;1,18;15;30;40;0;No;No;Yes;Realist
Master;;27;Female;;Germany;The EUR will appreciate.;1,25;50;The EUR will depreciate.;1,15;50;The EUR will depreciate.;1,13;50;30;70;1;No;No;Yes;Optimist
Master;;27;Female;;Austria;The EUR will appreciate.;1,22;20;The EUR will appreciate.;1,3;20;The EUR will appreciate.;1,3;10;20;40;1;No;No;Yes;Optimist
Bachelor;;24;Female;;Austria;The EUR will appreciate.;1,24;80;The EUR will appreciate.;1,22;50;The EUR will depreciate.;1,2;20;50;45;2;No;No;Yes;Realist
Bachelor;;19;Male;;Austria;The EUR will depreciate.;100;12;;;;;;;;;;N/A;N/A;N/A;
Bachelor;;26;Male;;Austria;The EUR will depreciate.;1,27;70;The EUR will depreciate.;1,31;70;The EUR will appreciate.;1,25;40;65;70;1;No;No;Yes;Realist
Master;;23;Female;;Germany;The EUR will appreciate.;1,25;20;The EUR will depreciate.;1,18;20;The EUR will depreciate.;1,15;40;10;10;1;Yes;Yes;No;Realist
Bachelor;;24;Female;;Germany;The EUR will appreciate.;1,22;65;The EUR will appreciate.;1,24;45;The EUR will depreciate.;1,19;25;40;70;0;No;No;Yes;Realist
Bachelor;;24;Male;;Austria;The EUR will appreciate.;1,3;10;The EUR will appreciate.;1,3;5;The EUR will appreciate.;1,3;0;95;70;1;No;Yes;Yes;Realist
Bachelor;;21;Female;;Germany;The EUR will depreciate.;1,21;40;The EUR will depreciate.;1,23;60;The EUR will depreciate.;1,24;50;20;50;0;No;No;Yes;Optimist
Bachelor;;21;Male;;United Kingdom;The EUR will depreciate.;1,2015;68;The EUR will depreciate.;1,2;60;The EUR will depreciate.;1,18;50;70;65;0;No;Yes;No;Pessimist
Bachelor;;24;Female;;Germany;The EUR will depreciate.;1,31;25;The EUR will depreciate.;1,31;25;The EUR will depreciate.;1,31;40;35;35;1;No;No;Yes;Optimist
