BCKGI1;BCKGI3;BCKGI2;BCKGI5;FCsthree0;FCthree01;FCthree1;FCsix0;FCsix01;FCsix1;FCtwelve;FCtwelve01;FCtwelve1;AQ1;AQ2;AQ3;AQ401;AQ402;AQ403;AQ5
Bachelor;22;Female;Austria;AP;1,25;70;DEP;1,10;40;DEP;1,12;70;40;40;2;No;No;Yes;Optimist
Bachelor;22;Female;Austria;AP;1,24;61;DEP;1,20;57;DEP;1,20;67;66;80;0;No;No;Yes;Optimist
Bachelor;20;Female;Austria;DEP;1,09;3;DEP;1,04;4;DEP;1,01;5;0;0;0;No;No;Yes;Optimist
Bachelor;22;Male;Austria;AP;1,26;60;DEP;120,00;70;DEP;1,15;70;70;65;2;No;Yes;No;Realist
Bachelor;23;Female;Austria;DEP;1,19;20;AP;1,25;0;AP;1,26;10;20;40;0;No;No;Yes;Optimist
Bachelor;24;Male;Austria;AP;1,23;20;AP;1,24;10;AP;1,25;0;75;90;0;No;No;Yes;Realist
Bachelor;21;Female;Austria;DEP;1,34;57;AP;1,19;34;DEP;1,25;50;90;90;0;Yes;No;Yes;Optimist
Bachelor;26;Female;Austria;AP;1,25;65;DEP;1,18;65;DEP;1,20;65;50;50;0;No;No;Yes;Realist
Bachelor;22;Male;Austria;DEP;1,11;35;DEP;1,10;30;AP;1,25;30;70;90;1;No;Yes;No;Optimist
Bachelor;21;Male;Austria;DEP;1,15;55;DEP;1,19;45;AP;1,24;35;75;60;0;No;Yes;No;Pessimist
Bachelor;28;Male;Austria;AP;1,25;60;DEP;1,21;80;DEP;1,18;10;50;50;0;No;Yes;No;Realist
Bachelor;23;Male;Austria;AP;1,23;40;DEP;1,19;40;AP;1,25;50;40;35;1;No;Yes;No;Realist
Master;26;Male;Austria;AP;1,24;66;AP;1,22;33;AP;1,22;0;51;51;more than 2;Yes;No;No;Realist
Bachelor;22;Female;Austria;;;;;;;;;;;;;N/A;N/A;N/A;
Master;26;Male;Bulgaria;;;;;;;;;;;;;N/A;N/A;N/A;
Master;26;Male;Bulgaria;AP;1,23;77;AP;1,25;60;DEP;1,19;70;65;80;0;No;No;Yes;Optimist
Bachelor;42;Male;Bulgaria;AP;1,24;50;AP;1,26;50;AP;1,28;50;50;50;0;No;No;Yes;Optimist
Bachelor;21;Male;Bulgaria;AP;1,25;10;AP;1,27;9;DEP;1,20;8;5;20;0;No;No;Yes;Realist
Bachelor;21;Female;Bulgaria;;;;;;;;;;;;;N/A;N/A;N/A;
Bachelor;22;Female;Austria;;;;;;;;;;;;;N/A;N/A;N/A;
Master;23;Female;Denmark;AP;1,40;50;AP;1,30;50;AP;1,33;50;30;30;0;No;No;Yes;Optimist
Master;25;Male;Denmark;DEP;1,22;50;DEP;1,23;40;DEP;1,24;30;50;40;0;No;No;Yes;Realist
Bachelor;24;Female;Denmark;DEP;1,19;100;AP;1,23;70;AP;1,25;90;0;0;0;Yes;Yes;Yes;Realist
Master;25;Male;Denmark;;;;;;;;;;;;;N/A;N/A;N/A;
Master;23;Male;Denmark;DEP;1,15;30;AP;1,26;25;DEP;1,18;60;75;80;2;Yes;No;No;Realist
Master;23;Male;Denmark;DEP;1,18;40;AP;1,25;40;AP;1,25;40;50;60;2;No;Yes;No;Optimist
Master;23;Male;Denmark;DEP;1,18;70;DEP;1,15;85;DEP;1,10;90;70;70;2;No;Yes;No;Realist
Bachelor;24;Male;Denmark;DEP;1,15;50;AP;1,25;50;AP;1,25;50;50;50;1;No;No;Yes;Realist
Bachelor;21;Male;Denmark;DEP;1,10;20;DEP;1,09;10;DEP;1,09;5;10;10;0;No;No;Yes;Realist
Bachelor;22;Female;Denmark;DEP;1,10;70;AP;1,10;70;AP;1,25;70;30;50;0;No;Yes;No;Realist
Bachelor;21;Female;Denmark;AP;1,20;25;AP;1,20;15;DEP;1,22;25;50;70;0;No;No;Yes;Optimist
Bachelor;22;Male;Denmark;DEP;1,32;68;DEP;1,45;54;DEP;1,57;24;68;75;0;No;Yes;No;Realist
Bachelor;21;Male;Denmark;AP;1,23;70;AP;1,24;65;DEP;1,24;65;75;85;1;No;Yes;No;Realist
Bachelor;23;Male;Denmark;AP;1,35;50;AP;1,50;50;AP;1,80;50;75;80;1;No;Yes;No;Pessimist
Bachelor;20;Male;Denmark;DEP;1,15;60;DEP;1,14;50;DEP;1,13;40;75;65;1;No;Yes;No;Realist
Bachelor;19;Female;United Kingdom;;;;;;;;;;;;;N/A;N/A;N/A;
Bachelor;21;Male;Denmark;AP;1,25;70;DEP;1,15;60;DEP;1,12;40;40;40;2;No;Yes;No;Realist
Bachelor;22;Female;Denmark;DEP;1,22;67;DEP;1,22;70;AP;1,20;55;40;60;0;Yes;No;No;Pessimist
Bachelor;22;Female;Denmark;DEP;2,00;0;AP;2,00;0;AP;2,00;0;;;;N/A;N/A;N/A;
Bachelor;22;Male;Denmark;AP;1,23;70;DEP;1,19;65;DEP;1,18;50;80;80;1;No;Yes;No;Realist
Bachelor;24;Male;Germany;AP;1,31;1;DEP;1,15;1;DEP;1,10;1;50;60;0;No;No;Yes;Realist
Bachelor;20;Male;Denmark;AP;1,22;22;DEP;1,19;22;AP;1,22;22;15;15;0;Yes;No;Yes;Realist
Bachelor;22;Male;Austria;DEP;1,15;80;AP;1,20;30;AP;1,25;30;40;70;1;No;No;Yes;Realist
Bachelor;21;Male;Denmark;;;;;;;;;;;;;N/A;N/A;N/A;
Master;24;Male;Denmark;AP;1,40;50;DEP;1,35;50;AP;1,25;5;50;50;0;No;No;Yes;Realist
;;;Denmark;;;;;;;;;;;;;N/A;N/A;N/A;
Bachelor;26;Male;Denmark;DEP;1,10;20;DEP;1,10;30;DEP;1,00;30;50;75;1;No;Yes;No;Optimist
Bachelor;24;Female;Denmark;;;;;;;;;;;;;N/A;N/A;N/A;
Bachelor;22;Male;Denmark;DEP;1,16;50;DEP;1,15;5;DEP;1,20;2;60;70;1;No;Yes;No;Realist
Bachelor;23;Male;Denmark;AP;1,23;50;AP;1,22;20;DEP;1,20;5;30;50;2;Yes;No;No;Optimist
Bachelor;21;Female;Germany;AP;1,18;50;DEP;1,25;50;DEP;1,27;50;50;50;1;No;Yes;No;Optimist
Master;26;Female;Germany;DEP;1,15;50;DEP;1,15;50;DEP;1,15;50;60;60;0;No;Yes;No;Realist
Bachelor;21;Female;Germany;AP;1,29;25;AP;1,32;20;AP;1,35;15;15;30;1;No;No;Yes;Realist
Bachelor;21;Female;Germany;DEP;1,18;25;AP;1,24;25;AP;1,24;15;30;30;2;No;Yes;No;Realist
;;;Denmark;;;;;;;;;;;;;N/A;N/A;N/A;
Bachelor;22;Female;Austria;AP;1,21;20;AP;1,22;20;DEP;1,18;15;30;40;0;No;No;Yes;Realist
Master;27;Female;Germany;AP;1,25;50;DEP;1,15;50;DEP;1,13;50;30;70;1;No;No;Yes;Optimist
Master;27;Female;Austria;AP;1,22;20;AP;1,30;20;AP;1,30;10;20;40;1;No;No;Yes;Optimist
Bachelor;24;Female;Austria;AP;1,24;80;AP;1,22;50;DEP;1,20;20;50;45;2;No;No;Yes;Realist
Bachelor;19;Male;Austria;DEP;100,00;12;;;;;;;;;;N/A;N/A;N/A;
Bachelor;26;Male;Austria;DEP;1,27;70;DEP;1,31;70;AP;1,25;40;65;70;1;No;No;Yes;Realist
Master;23;Female;Germany;AP;1,25;20;DEP;1,18;20;DEP;1,15;40;10;10;1;Yes;Yes;No;Realist
Bachelor;24;Female;Germany;AP;1,22;65;AP;1,24;45;DEP;1,19;25;40;70;0;No;No;Yes;Realist
Bachelor;24;Male;Austria;AP;1,30;10;AP;1,30;5;AP;1,30;0;95;70;1;No;Yes;Yes;Realist
Bachelor;21;Female;Germany;DEP;1,21;40;DEP;1,23;60;DEP;1,24;50;20;50;0;No;No;Yes;Optimist
Bachelor;21;Male;United Kingdom;DEP;1,20;68;DEP;1,20;60;DEP;1,18;50;70;65;0;No;Yes;No;Pessimist
Bachelor;24;Female;Germany;DEP;1,31;25;DEP;1,31;25;DEP;1,31;40;35;35;1;No;No;Yes;Optimist
