"""What is your de.."" ,""How old are you?"",""What is your ge.. "",""Take your time .. "",""Take you time a.. "",""How confident a.. "",""Take your time .. "",""Take you time a.. "",""How confident a.. "",""Take your time .. "",""Take you time a.. "",""How confident a.. "",""How confident a.. "",""How confident a.. "",""How many financ.. "",""How would you d.. """
"""Bachelor"",""22"",""Female"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Master"",""23"",""Female"",""The EUR will appreciate."",""1.4"",""50"",""The EUR will appreciate."",""1.3"",""50"",""The EUR will appreciate."",""1.33"",""50"",""30"",""30"",""0"",""Optimist"""
"""Master"",""25"",""Male"",""The EUR will depreciate."",""1.22"",""50"",""The EUR will depreciate."",""1.23"",""40"",""The EUR will depreciate."",""1.24"",""30"",""50"",""40"",""0"",""Realist"""
"""Bachelor"",""24"",""Female"",""The EUR will depreciate."",""1.19"",""100"",""The EUR will appreciate."",""1.23"",""70"",""The EUR will appreciate."",""1.25"",""90"",""0"",""0"",""0"",""Realist"""
"""Master"",""25"",""Male"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Master"",""23"",""Male"",""The EUR will depreciate."",""1.15"",""30"",""The EUR will appreciate."",""1.26"",""25"",""The EUR will depreciate."",""1.18"",""60"",""75"",""80"",""2"",""Realist"""
"""Master"",""23"",""Male"",""The EUR will depreciate."",""1.18"",""40"",""The EUR will appreciate."",""1.25"",""40"",""The EUR will appreciate."",""1.25"",""40"",""50"",""60"",""2"",""Optimist"""
"""Master"",""23"",""Male"",""The EUR will depreciate."",""1.18"",""70"",""The EUR will depreciate."",""1.15"",""85"",""The EUR will depreciate."",""1.1"",""90"",""70"",""70"",""2"",""Realist"""
"""Bachelor"",""24"",""Male"",""The EUR will depreciate."",""1.15"",""50"",""The EUR will appreciate."",""1.25"",""50"",""The EUR will appreciate."",""1.25"",""50"",""50"",""50"",""1"",""Realist"""
"""Bachelor"",""21"",""Male"",""The EUR will depreciate."",""1.1"",""20"",""The EUR will depreciate."",""1.09"",""10"",""The EUR will depreciate."",""1.085"",""5"",""10"",""10"",""0"",""Realist"""
"""Bachelor"",""22"",""Female"",""The EUR will depreciate."",""1.1"",""70"",""The EUR will appreciate."",""1.1"",""70"",""The EUR will appreciate."",""1.25"",""70"",""30"",""50"",""0"",""Realist"""
"""Bachelor"",""21"",""Female"",""The EUR will appreciate."",""1.2"",""25"",""The EUR will appreciate."",""1.2"",""15"",""The EUR will depreciate."",""1.22"",""25"",""50"",""70"",""0"",""Optimist"""
"""Bachelor"",""22"",""Male"",""The EUR will depreciate."",""1.32"",""68"",""The EUR will depreciate."",""1.45"",""54"",""The EUR will depreciate."",""1.57"",""24"",""68"",""75"",""0"",""Realist"""
"""Bachelor"",""21"",""Male"",""The EUR will appreciate."",""1.23"",""70"",""The EUR will appreciate."",""1.24"",""65"",""The EUR will depreciate."",""1.24"",""65"",""75"",""85"",""1"",""Realist"""
"""Bachelor"",""23"",""Male"",""The EUR will appreciate."",""1.35"",""50"",""The EUR will appreciate."",""1.5"",""50"",""The EUR will appreciate."",""1.8"",""50"",""75"",""80"",""1"",""Pessimist"""
"""Bachelor"",""20"",""Male"",""The EUR will depreciate."",""1.15"",""60"",""The EUR will depreciate."",""1.14"",""50"",""The EUR will depreciate."",""1.13"",""40"",""75"",""65"",""1"",""Realist"""
"""Bachelor"",""19"",""Female"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Bachelor"",""21"",""Male"",""The EUR will appreciate."",""1.25"",""70"",""The EUR will depreciate."",""1.15"",""60"",""The EUR will depreciate."",""1.12"",""40"",""40"",""40"",""2"",""Realist"""
"""Bachelor"",""22"",""Female"",""The EUR will depreciate."",""1.22"",""67"",""The EUR will depreciate."",""1.22"",""70"",""The EUR will appreciate."",""1.2"",""55"",""40"",""60"",""0"",""Pessimist"""
"""Bachelor"",""22"",""Female"",""The EUR will depreciate."",""2"",""0"",""The EUR will appreciate."",""2"",""0"",""The EUR will appreciate."",""2"",""0"","""","""","""","""""
"""Bachelor"",""22"",""Male"",""The EUR will appreciate."",""1.23"",""70"",""The EUR will depreciate."",""1.19"",""65"",""The EUR will depreciate."",""1.18"",""50"",""80"",""80"",""1"",""Realist"""
"""Bachelor"",""24"",""Male"",""The EUR will appreciate."",""1.31"",""1"",""The EUR will depreciate."",""1.15"",""1"",""The EUR will depreciate."",""1.1"",""1"",""50"",""60"",""0"",""Realist"""
"""Bachelor"",""20"",""Male"",""The EUR will appreciate."",""1.22"",""22"",""The EUR will depreciate."",""1.19"",""22"",""The EUR will appreciate."",""1.22"",""22"",""15"",""15"",""0"",""Realist"""
"""Bachelor"",""22"",""Male"",""The EUR will depreciate."",""1.15"",""80"",""The EUR will appreciate."",""1.2"",""30"",""The EUR will appreciate."",""1.25"",""30"",""40"",""70"",""1"",""Realist"""
"""Bachelor"",""21"",""Male"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Master"",""24"",""Male"",""The EUR will appreciate."",""1.4"",""50"",""The EUR will depreciate."",""1.35"",""50"",""The EUR will appreciate."",""1.25"",""5"",""50"",""50"",""0"",""Realist"""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Bachelor"",""26"",""Male"",""The EUR will depreciate."",""1.1"",""20"",""The EUR will depreciate."",""1.1"",""30"",""The EUR will depreciate."",""1"",""30"",""50"",""75"",""1"",""Optimist"""
"""Bachelor"",""24"",""Female"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Bachelor"",""22"",""Male"",""The EUR will depreciate."",""1.16"",""50"",""The EUR will depreciate."",""1.15"",""5"",""The EUR will depreciate."",""1.2"",""2"",""60"",""70"",""1"",""Realist"""
"""Bachelor"",""23"",""Male"",""The EUR will appreciate."",""1.23"",""50"",""The EUR will appreciate."",""1.22"",""20"",""The EUR will depreciate."",""1.2"",""5"",""30"",""50"",""2"",""Optimist"""
"""Bachelor"",""21"",""Female"",""The EUR will appreciate."",""1.18"",""50"",""The EUR will depreciate."",""1.25"",""50"",""The EUR will depreciate."",""1.27"",""50"",""50"",""50"",""1"",""Optimist"""
"""Master"",""26"",""Female"",""The EUR will depreciate."",""1.15"",""50"",""The EUR will depreciate."",""1.15"",""50"",""The EUR will depreciate."",""1.15"",""50"",""60"",""60"",""0"",""Realist"""
"""Bachelor"",""21"",""Female"",""The EUR will appreciate."",""1.29"",""25"",""The EUR will appreciate."",""1.32"",""20"",""The EUR will appreciate."",""1.35"",""15"",""15"",""30"",""1"",""Realist"""
"""Bachelor"",""21"",""Female"",""The EUR will depreciate."",""1.18"",""25"",""The EUR will appreciate."",""1.24"",""25"",""The EUR will appreciate."",""1.24"",""15"",""30"",""30"",""2"",""Realist"""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Bachelor"",""22"",""Female"",""The EUR will appreciate."",""1.21"",""20"",""The EUR will appreciate."",""1.22"",""20"",""The EUR will depreciate."",""1.18"",""15"",""30"",""40"",""0"",""Realist"""
"""Master"",""27"",""Female"",""The EUR will appreciate."",""1.25"",""50"",""The EUR will depreciate."",""1.15"",""50"",""The EUR will depreciate."",""1.13"",""50"",""30"",""70"",""1"",""Optimist"""
"""Master"",""27"",""Female"",""The EUR will appreciate."",""1.22"",""20"",""The EUR will appreciate."",""1.3"",""20"",""The EUR will appreciate."",""1.3"",""10"",""20"",""40"",""1"",""Optimist"""
"""Bachelor"",""24"",""Female"",""The EUR will appreciate."",""1.24"",""80"",""The EUR will appreciate."",""1.22"",""50"",""The EUR will depreciate."",""1.2"",""20"",""50"",""45"",""2"",""Realist"""
"""Bachelor"",""19"",""Male"",""The EUR will depreciate."",""100"",""12"","""","""","""","""","""","""","""","""","""","""""
"""Bachelor"",""26"",""Male"",""The EUR will depreciate."",""1.27"",""70"",""The EUR will depreciate."",""1.31"",""70"",""The EUR will appreciate."",""1.25"",""40"",""65"",""70"",""1"",""Realist"""
"""Master"",""23"",""Female"",""The EUR will appreciate."",""1.25"",""20"",""The EUR will depreciate."",""1.18"",""20"",""The EUR will depreciate."",""1.15"",""40"",""10"",""10"",""1"",""Realist"""
"""Bachelor"",""24"",""Female"",""The EUR will appreciate."",""1.22"",""65"",""The EUR will appreciate."",""1.24"",""45"",""The EUR will depreciate."",""1.19"",""25"",""40"",""70"",""0"",""Realist"""
"""Bachelor"",""24"",""Male"",""The EUR will appreciate."",""1.3"",""10"",""The EUR will appreciate."",""1.3"",""5"",""The EUR will appreciate."",""1.3"",""0"",""95"",""70"",""1"",""Realist"""
"""Bachelor"",""21"",""Female"",""The EUR will depreciate."",""1.21"",""40"",""The EUR will depreciate."",""1.23"",""60"",""The EUR will depreciate."",""1.24"",""50"",""20"",""50"",""0"",""Optimist"""
"""Bachelor"",""21"",""Male"",""The EUR will depreciate."",""1.2015"",""68"",""The EUR will depreciate."",""1.2"",""60"",""The EUR will depreciate."",""1.18"",""50"",""70"",""65"",""0"",""Pessimist"""
"""Bachelor"",""24"",""Female"",""The EUR will depreciate."",""1.31"",""25"",""The EUR will depreciate."",""1.31"",""25"",""The EUR will depreciate."",""1.31"",""40"",""35"",""35"",""1"",""Optimist"""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Master"",""26"",""Male"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Master"",""26"",""Male"",""The EUR will appreciate."",""1.23"",""77"",""The EUR will appreciate."",""1.25"",""60"",""The EUR will depreciate."",""1.19"",""70"",""65"",""80"",""0"",""Optimist"""
","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Bachelor"",""42"",""Male"",""The EUR will appreciate."",""1.24"",""50"",""The EUR will appreciate."",""1.26"",""50"",""The EUR will appreciate."",""1.28"",""50"",""50"",""50"",""0"",""Optimist"""
"""Bachelor"",""21"",""Male"",""The EUR will appreciate."",""1.25"",""10"",""The EUR will appreciate."",""1.27"",""9"",""The EUR will depreciate."",""1.2"",""8"",""5"",""20"",""0"",""Realist"""
"""Bachelor"",""21"",""Female"","""","""","""","""","""","""","""","""","""","""","""","""","""""
"""Bachelor"",""22"",""Female"",""The EUR will appreciate."",""1.25"",""70"",""The EUR will depreciate."",""1.1"",""40"",""The EUR will depreciate."",""1.12"",""70"",""40"",""40"",""2"",""Optimist"""
"""Bachelor"",""22"",""Female"",""The EUR will appreciate."",""1.24"",""61"",""The EUR will depreciate."",""1.2"",""57"",""The EUR will depreciate."",""1.2"",""67"",""66"",""80"",""0"",""Optimist"""
"""Bachelor"",""20"",""Female"",""The EUR will depreciate."",""1.09"",""3"",""The EUR will depreciate."",""1.04"",""4"",""The EUR will depreciate."",""1.01"",""5"",""0"",""0"",""0"",""Optimist"""
"""Bachelor"",""22"",""Male"",""The EUR will appreciate."",""1.26"",""60"",""The EUR will depreciate."",""120"",""70"",""The EUR will depreciate."",""1.15"",""70"",""70"",""65"",""2"",""Realist"""
"""Bachelor"",""23"",""Female"",""The EUR will depreciate."",""1.19"",""20"",""The EUR will appreciate."",""1.25"",""0"",""The EUR will appreciate."",""1.26"",""10"",""20"",""40"",""0"",""Optimist"""
"""Bachelor"",""24"",""Male"",""The EUR will appreciate."",""1.23"",""20"",""The EUR will appreciate."",""1.24"",""10"",""The EUR will appreciate."",""1.25"",""0"",""75"",""90"",""0"",""Realist"""
"Other,""21"",""Female"",""The EUR will depreciate."",""1.34"",""57"",""The EUR will appreciate."",""1.19"",""34"",""The EUR will depreciate."",""1.25"",""50"",""90"",""90"",""0"",""Optimist"""
"""Bachelor"",""26"",""Female"",""The EUR will appreciate."",""1.25"",""65"",""The EUR will depreciate."",""1.18"",""65"",""The EUR will depreciate."",""1.2"",""65"",""50"",""50"",""0"",""Realist"""
"""Bachelor"",""22"",""Male"",""The EUR will depreciate."",""1.11"",""35"",""The EUR will depreciate."",""1.1"",""30"",""The EUR will appreciate."",""1.25"",""30"",""70"",""90"",""1"",""Optimist"""
"""Bachelor"",""21"",""Male"",""The EUR will depreciate."",""1.15"",""55"",""The EUR will depreciate."",""1.19"",""45"",""The EUR will appreciate."",""1.24"",""35"",""75"",""60"",""0"",""Pessimist"""
"""Bachelor"",""28"",""Male"",""The EUR will appreciate."",""1.25"",""60"",""The EUR will depreciate."",""1.21"",""80"",""The EUR will depreciate."",""1.18"",""10"",""50"",""50"",""0"",""Realist"""
"""Bachelor"",""23"",""Male"",""The EUR will appreciate."",""1.23"",""40"",""The EUR will depreciate."",""1.19"",""40"",""The EUR will appreciate."",""1.25"",""50"",""40"",""35"",""1"",""Realist"""
"""Master"",""26"",""Male"",""The EUR will appreciate."",""1.2367"",""66"",""The EUR will appreciate."",""1.2194"",""33"",""The EUR will appreciate."",""1.2152"",""0"",""51"",""51"",""more than 2"",""Realist"""
